"wt_full_W6" "wt_full_W9" "regretsIHaveAFewW6" "euRefExpectationW7" "euRefExpectationW8" "econPersonalRetroW8" "euRefTurnoutRetroW9" "euRefVoteW9" "regretsIHaveAFewW9" "ageGroup" "ns_secW1W2W3W4W5" "ns_sec_analyticW1W2W3W4W5" "gender" "gor" "education"
"138" 0.863784492915522 1.12180351103956 0 35 NA NA 1 0 0 4 41 20 2 7 11
"139" NA 1.92510363394807 NA NA 33 4 1 0 0 3 111 50 1 2 16
"140" 0.759339767844104 0.652120552898496 0 48 48 NA 1 0 0 5 32 12 2 8 16
"141" NA 0.63913811571094 NA 41 34 NA 1 1 0 6 33 12 2 1 16
"142" 0.936417482957864 0.743950096026411 0 58 62 NA 1 0 0 6 50 20 2 9 16
"143" NA NA NA NA NA NA NA NA NA 6 91 40 1 11 17
"144" 1.00783006813862 0.724550942168828 0 45 10 NA 1 0 0 7 60 20 1 9 5
"145" 0.541652033108273 0.421585642521177 0 0 42 NA 1 0 0 7 33 12 1 9 18
"146" 0.651549092767995 0.573199406702638 0 0 57 4 1 0 0 5 20 11 1 2 16
"147" 1.04734900021983 0.909600888669095 0 NA 48 3 1 1 0 5 42 20 1 8 12
"148" 0.912046597287235 NA 0 NA NA NA NA NA NA 7 71 30 2 9 1
"149" NA NA NA NA NA NA NA NA NA 7 91 40 2 6 18
"150" 0.69113865213822 NA 0 NA NA NA NA NA NA 4 42 20 1 8 16
"151" 0.831702342147182 1.49342629801293 NA 36 NA NA 0 NA NA 5 43 20 2 10 15
"152" 0.669767202917886 0.536490288132149 0 36 4 3 1 0 0 7 41 20 2 1 14
"153" 0.860103396093726 NA 0 64 52 NA NA NA NA 6 41 20 2 8 11
"154" 0.744996915176348 NA 0 NA 2 2 NA NA NA 6 20 11 1 2 16
"155" 0.214481890322905 0.371893195021105 0 NA 48 4 1 0 0 5 50 20 1 11 18
"156" 1.0701256672328 NA 1 58 48 9999 NA NA NA 6 100 50 1 3 3
"157" 0.344016890329519 0.80999089610643 0 9999 56 4 1 1 0 7 60 20 2 10 9
